PT -(que) diz respeito	(que) diz respeito	[sound:_pt_(que)_diz_respeito.mp3]	/(kɨ) ˈdiʒ ʁɨˈʃpɐjtu/	Português		(que) respecta a.	Portugues::Frases
PT - Eu tive uma ideia que me pareceu boa.	Eu tive uma ideia que me pareceu boa.	[sound:_pt_eu_tive_uma_ideia_que_me_pareceu_boa..mp3]	/ˈ<b>ew ˈti</b>.vɨ <b>ˈu.</b>mɐ i.<b>ˈdɐj</b>.ɐ kɨ mɨ pɐ.ɾɨ.<b>ˈsew</b> <b>ˈbo</b>.ɐ./	Português		Tuve una idea que me pareció buena.	Portugues::Frases::Passado Portugues::Verbos::Basicos::ter
PT - à beira rio	à beira rio	[sound:_pt_à_beira_rio.mp3]	/ˈa ˈbɐjɾɐ ˈʁiu/	Português		A orillas del río.	Portugues::Frases
PT - Ainda te lembras dele?	Ainda te lembras dele?	[sound:_pt_ainda_te_lembras_dele__(portugal).mp3]	/ˈaĩdɐ ˈtɛ ˈlẽbɾɐʒ ˈdɛlɨ?/	Português		¿Aún te acuerdas de él?	Portugues::Frases
PT - Ainda criança, ele perdeu os pais.	Ainda criança, ele perdeu os pais.	[sound:_pt_ainda_criança,_ele_perdeu_os_pais..mp3]	/ˈaĩdɐ kɾiˈɐ̃sɐ, ˈelɨ pɨɾˈdew uʃ ˈpajʃ./	Português		Siendo niño, perdió a sus padres.	Portugues::Frases
PT - em direção ao centro da cidade	em direção ao centro da cidade	[sound:_pt_em_direção_ao_centro_da_cidade_(portugal).mp3]	/ˈɐ̃j̃ diɾɨˈsɐ̃w̃ ɐu ˈsẽtɾu dɐ siˈdadɨ/	Português		En dirección al centro de la ciudad.	Portugues::Frases
PT - dentro de umas duas horas	dentro de umas duas horas	[sound:_pt_dentro_de_umas_duas_horas.mp3]	/ˈdẽtɾu dɨ ˈumɐʒ ˈduɐz ˈɔɾɐʃ/	Português		Dentro de unas dos horas.	Portugues::Frases
PT - Ele foi para o Brasil e ali permaneceu.	Ele foi para o Brasil e ali permaneceu.	[sound:_pt_ele_foi_para_o_brasil_e_ali_permaneceu..mp3]	/ˈelɨ ˈfoj pɐɾɐ u bɾɐˈziɫ i ɐˈli pɨɾmɐnɨˈsew./	Português		Se fue a Brasil y allí se quedó.	Portugues::Frases
PT - Ele sentou-se num banco	Ele sentou-se num banco	[sound:_pt_ele_sentou-se_num_banco.mp3]	/ˈelɨ sẽˈtosɨ ˈnũ ˈbɐ̃ku/	Português		Se sentó en un banco.	Portugues::Frases
PT - Ele chegou em segundo lugar	Ele chegou em segundo lugar	[sound:_pt_ele_chegou_em_segundo_lugar_(portugal).mp3]	/ˈelɨ ʃɨˈɡo ˈɐ̃j̃ sɨˈɡũdu luˈɡaɾ/	Português		Llegó en segundo lugar.	Portugues::Frases Portugues::Frases::Passado
PT - Eu escrevi aquele livro	Eu escrevi aquele livro	[sound:_pt_eu_escrevi_aquele_livro_(portugal).mp3]	/ˈew ʃkɾɨˈvi ɐˈkɛlɨ ˈlivɾu/	Português		Escribí ese libro.	Portugues::Frases
PT - É bom saberes a verdade.	É bom saberes a verdade.	[sound:_pt_é_bom_saberes_a_verdade..mp3]	/ˈɛ ˈbõ sɐˈbeɾɨz ɐ vɨɾˈdadɨ./	Português		Es bueno que sepas la verdad.	Portugues::Frases
PT - É importante estares bem calma	É importante estares bem calma	[sound:_pt_é_importante_estares_bem_calma.mp3]	/ˈɛ ĩpuɾˈtɐ̃tɨ ˈʃtaɾɨʒ ˈbɐ̃j̃ ˈkaɫmɐ/	Português		Es importante que estés bien tranquila.	Portugues::Frases
PT - É preciso estudares mais	É preciso estudares mais	[sound:_pt_é_preciso_estudares_mais.mp3]	/ˈɛ pɾɨˈsizu ʃtuˈdaɾɨʒ ˈmajʃ/	Português		Es necesario que estudies más.	Portugues::Frases
PT - É, porém, um facto...	É, porém, um facto...	[sound:_pt_é,_porém,_um_facto....mp3]	/ˈɛ, puˈɾɐ̃j̃, ˈũ ˈfaktu.../	Português		Es, sin embargo, un hecho...	Portugues::Frases
