10153	máquina de lavar (roupa)	a máquina de lavar	/ˈma.ʃinɐ dɨ la.ˈvaɾ/	/ˈma.ʃinɐ dʒi la.ˈvaɾ/	sf		washing machine						lavadora							machine à laver					Waschmaschine					llavador (roba)					lavatrice (vestiti)
10356	vassoura	a vassoura	/vɐ.su.ˈɾɐ/	/vɐ.su.ˈɾɐ/	sf		broom						escoba							balai					Besen					escoba					scopa
10357	luvas	as luvas	/ˈlu.vɐʃ/	/ˈlu.vɐʃ/	sf		gloves						guantes							gants					Handschuhe					guants					guanti
10358	lava-roupas	o lava-roupas	/ˈla.vɐ.ˈʁo.upɐʃ/	/ˈla.vɐ.ˈʁo.upɐʃ/	sm		washing machine						lavadora							lave-linge					Waschmaschine					llavadora					lavatrice
10359	baldes	os baldes	/ˈbaɫ.dɨʃ/	/ˈbaw.dʒis/	sm		buckets						cubos							seaux, seau					Eimer					cubs					bidoni
10360	panos de chão	os panos de chão	/ˈpa.nuʃ dɨ ʃɐ̃w̃/	/ˈpa.nus dʒi ʃɐ̃w̃/	sm		floor cloths						mopas							chiffons de sol					Bodenlappen					panys de terra					panni da pavimento
10361	panos	os panos	/ˈpa.nuʃ/	/ˈpa.nus/	sm		cloths						paños							chiffons					Lappen					panys					panni
10363	tabua de engomar	a tabua de engomar	/ˈta.bwɐ dɨ ẽ.ɡu.ˈmaɾ/	/ˈta.bwa dʒi ẽ.ɡo.ˈmaʁ/	sf		ironing board						tabla de planchar							planche à repasser					Bügelbrett					taula de planxar					tavola da stiro
10364	estendal	o estendal	/ɨʃ.tẽ.ˈdaj/	/is.tẽ.ˈdaj/	sm		drying rack						tendedero							étendoir					Wäscheständer					estenedor					asciugatrice
10382	detergente	o detergente	/dɨ.tɨɾ.ˈʒẽ.tɨ/	/dʒi.tɨɾ.ˈʒẽ.tʃi/	sm		detergent						detergente							détergent					Reinigungsmittel					detergent					detersivo
