10132	fogão	o fogão	/fu.ˈɡɐ̃w̃/	/fo.ˈɡɐ̃w̃/	sm								estufa
10133	lava-loiça	o lava-loiça	/ˈla.vɐ ˈloi.sɐ/	/ˈla.vɐ ˈloi.sɐ/	sm								lavaplatos
10134	micro-ondas	o micro-ondas	/ˌmi.kɾu.ˈõ.dɐʃ/	/ˌmi.kɾu.ˈõ.dɐʃ/	sm								microondas
10141	frigorífico	o frigorífico	/fɾi.ɡu.ɾi.ˈfi.ku/	/fɾi.ɡo.ɾi.ˈfi.ku/	sm								refrigerador
10270	prato	o prato	/ˈpɾa.tu/	/ˈpɾa.tu/	sm	O prato estava cheio de comida deliciosa.							plato
10271	garfo	o garfo	/ˈɡaɾ.fo/	/ˈɡaɾ.fo/	sm	Peguei no garfo e comencei a saborear o jantar.							tenedor
10272	faca	a faca	/ˈfa.kɐ/	/ˈfa.ka/	sf	A faca estava afilada e cortou a carne facilmente.							cuchillo
10273	colher	a colher	/ˈko.ʎɛɾ/	/ˈko.ʎeɾ/	sf (pl: colheres)	Mexi a sopa com a colher antes de a provar.							cuchara
10274	guardanapo	o guardanapo	/ɡwɐɾ.ðɐ.ˈna.pu/	/ɡwaʁ.dɐ.na.ˈpu/	sm	Peguei um guardanapo para limpar as mãos depois de comer.							servilleta
10275	toalha	a toalha	/to.ˈʎa/	/to.ˈʎa/	sf	Estendí a toalha para pôr a mesa.							toalla
10276	copo	o copo	/ˈko.pu/	/ˈko.pu/	sm	O vinho foi servido num copo muito giro.							vaso
10277	toalha	a toalha	/to.ˈʎa/	/to.ˈʎa/	sf								toalla, mantel
10278	talher, talheres	o/a talher, os/a talheres	/ˈta.ʎɛɾ/, /ta.ˈʎeɾɨʃ/	/ta.ˈʎeɾ/, /ta.ˈʎe.ɾis/	sm/f	Encontré os talheres na gaveta da cozinha.							cubierto, cubiertos
10279	chávena	a chávena	/ˈʃa.vɨ.nɐ/	/ˈʃa.ve.nɐ/	sf								taza
10280	taça	a taça	/ˈta.sɐ/	/ˈta.sa/	sf								copa
10281	garrafa	a garrafa	/ɡɐ.ˈʁa.fɐ/	/ɡa.ˈʁa.fa/	sf								botella
10282	jarra	a jarra	/ˈʒa.ʁɐ/	/ˈʒa.ʁɐ/	sf								jarra
10283	panela	a panela	/pɐ.ˈne.lɐ/	/pa.ˈne.la/	sf	O fogão estava aceso e a panela fervia.							olla
10284	louça	a louça	/ˈlou.sɐ/	/ˈlow.sɐ/	sf	Preciso de lavar a louça.							vajilla
